Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10
FA,teamSizeModel,0.030002355575561523,251.14,189.392,189.392,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998
FA,teamSizeModel,0.02951836585998535,248.71,191.392,176.504,176.504,176.504,176.504,176.504,176.504,176.504,176.504
FA,teamSizeModel,0.03099799156188965,213.71,189.794,178.504,178.504,178.504,178.504,178.504,178.504,178.504,178.504
FA,teamSizeModel,0.03600358963012695,194.794,194.794,188.504,181.13,181.13,181.13,181.13,181.13,181.13,181.13
FA,teamSizeModel,0.031218528747558594,243.71,195.13,175.504,175.504,175.504,175.504,175.504,175.504,175.504,175.504
FA,teamSizeModel,0.03200173377990723,202.794,195.504,183.504,182.26999999999998,181.924,181.924,181.924,181.924,181.924,181.924
FA,teamSizeModel,0.032616376876831055,216.71,201.392,197.26999999999998,181.504,181.504,181.504,181.504,181.504,181.504,181.504
FA,teamSizeModel,0.03157472610473633,179.504,179.504,179.504,175.13,169.13,169.13,169.13,169.13,169.13,169.13
FA,teamSizeModel,0.029999971389770508,223.71,200.13,183.504,175.504,175.504,175.504,175.504,175.504,175.504,175.504
FA,teamSizeModel,0.031009674072265625,258.14,196.504,180.392,180.392,180.392,180.392,180.392,180.392,180.392,180.392
FA,teamSizeModel,0.03142046928405762,216.71,181.13,173.504,173.504,173.504,173.504,173.504,173.504,173.504,173.504
FA,teamSizeModel,0.03103017807006836,239.71,200.13,196.13,181.13,181.13,181.13,181.13,181.13,181.13,181.13
FA,teamSizeModel,0.030006885528564453,250.14,213.794,198.392,190.26999999999998,184.26999999999998,184.26999999999998,184.26999999999998,184.26999999999998,184.26999999999998,184.26999999999998
FA,teamSizeModel,0.031568288803100586,257.794,183.392,183.392,180.26999999999998,180.26999999999998,179.13,179.13,179.13,179.13,179.13
FA,teamSizeModel,0.03199410438537598,237.794,183.504,182.13,182.13,173.26999999999998,173.26999999999998,173.26999999999998,173.26999999999998,173.26999999999998,173.26999999999998
FA,teamSizeModel,0.03101348876953125,260.794,179.504,179.504,179.504,179.504,179.504,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998
FA,teamSizeModel,0.03106689453125,206.71,189.392,189.392,189.392,174.13,174.13,174.13,174.13,174.13,174.13
FA,teamSizeModel,0.033170461654663086,239.71,185.504,185.504,185.504,185.504,185.504,185.504,185.504,185.504,185.504
FA,teamSizeModel,0.033002376556396484,267.14,194.392,183.13,183.13,183.13,183.13,183.13,183.13,183.13,183.13
FA,teamSizeModel,0.030019044876098633,240.71,201.504,177.504,177.504,177.504,177.504,177.504,177.504,177.504,177.504
FA,teamSizeModel,0.034005165100097656,205.392,190.504,190.504,190.504,190.504,190.504,190.504,190.504,190.504,190.504
