Optimizer,objfname,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10
GWO,teamSizeModel,100.0,84.55118957346635,90.83545144188683,53.77853983710056,48.19848029295067,52.134078634789724,50.76931469366812,37.75942471133362,36.44177289753996,36.432350472074376
GWO,teamSizeModel,100.0,69.6490735260714,69.27670262872053,60.84439064160936,40.59604851319894,36.545840419549684,33.97837006571407,39.184816779036,37.05515206357119,37.20828284925713
GWO,teamSizeModel,100.0,91.75958125319507,74.82812047821116,50.16358604943784,38.319756657519534,43.97145494524216,36.384124835253786,34.1806400135699,30.002133222647025,29.86623721558929
GWO,teamSizeModel,100.0,80.39772614508558,60.007173605462015,53.65783513721928,40.41413739138405,37.79680582106088,28.49334679366659,26.585004157539792,27.362505594606368,27.98643125276723
GWO,teamSizeModel,100.0,100.0,63.92041578486739,65.17302574843609,69.9799559234911,56.387796863520464,41.968189534164715,44.008019109598315,30.961510517070128,33.76785377770389
GWO,teamSizeModel,100.0,67.17604180811966,67.99787351047019,49.49022357353613,54.15000932586367,46.48368926243708,36.418990347650876,45.285184696509226,38.90366152775732,39.274855513319
GWO,teamSizeModel,100.0,64.42937124645147,53.08093737310664,40.66477450630197,37.66750668894676,28.782793912713363,22.348773397659244,24.81630781260443,23.87775496076404,22.579796903089395
GWO,teamSizeModel,100.0,88.73143429913702,84.54596703881649,32.68910088017852,36.38358063496144,34.29621298846827,30.339135407977718,34.56518291978053,32.076037246214916,31.17186899831233
GWO,teamSizeModel,100.0,100.0,62.65276049484692,53.38784283090882,49.779465619545114,35.006380792351116,31.513490007209537,25.548348409068122,22.76749645050127,23.28297890926751
GWO,teamSizeModel,100.0,56.04908348262272,40.0679326406306,27.242066642780365,24.33260050161233,23.898932282336073,23.123319240415622,25.345593694016483,26.429764242207092,24.502105338588322
GWO,teamSizeModel,100.0,77.90379189353106,77.21700938213215,65.72359429410938,79.9484594617141,47.79512115407489,41.65484646312028,35.258204327842115,32.50323429923967,34.442062096830405
GWO,teamSizeModel,100.0,78.01419839814739,68.17184248052637,69.85196059282966,62.19331018970634,67.69155271615591,55.342908606475035,61.88327239404931,45.96157709887003,47.74832670736752
