Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10
GWO,teamSizeModel,0.03,226.48,208.41,190.54,185.22,180.71,176.94,173.27,171.89,170.81,170.43
FA,teamSizeModel,0.03,228.63,193.22,185.5,181.63,179.7,179.66,179.46,179.46,179.39,179.1
GWOEL,teamSizeModel,0.12,226.91,217.08,214.11,213.43,210.22,210.09,208.62,207.57,205.6,205.38
PSO,teamSizeModel,0.03,226.98,204.44,196.17,189.36,183.6,180.06,176.79,175.82,174.44,173.49
BA,teamSizeModel,0.03,208.48,197.31,190.57,188.84,188.78,188.36,187.72,187.69,187.68,187.63
WOA,teamSizeModel,0.03,227.85,203.51,194.5,187.02,182.48,180.97,179.65,178.84,178.36,177.85
CSA,teamSizeModel,0.11,208.07,201.44,196.53,193.55,189.95,185.93,184.33,183.21,182.73,182.39
DE,teamSizeModel,0.03,213.16,200.31,192.34,188.35,182.78,178.64,176.04,174.87,173.73,172.42
