Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
GWO,teamSizeModel,0.06,223.5,207.72,196.23,190.17,187.21,182.71,179.07,177.23,175.37,173.82,172.89,172.52,171.59,171.36,170.86,170.09,169.94,169.71,169.46,169.29,169.05,168.94,168.92,168.43,168.42,168.24,167.95,167.64,167.64,167.55,167.29,167.29,167.06,166.98,166.81,166.73,166.69,166.56,166.46,166.32,166.2,165.97,165.79,165.76,165.76,165.64,165.64,165.64,165.48,165.36,165.36,165.36,165.26,165.19,164.88,164.87,164.87,164.87,164.82,164.75,164.57,164.57,164.38,164.27,164.27,164.27,164.27,164.27,164.27,164.27,164.25,164.25,164.25,164.25,164.25,164.25,164.25,164.25,164.21,164.21,164.21,164.21,164.21,164.19,164.19,164.19,164.19,164.19,164.19,164.19,164.19,164.19,164.19,164.19,164.19,164.19,164.19,164.19,164.19,164.19
FA,teamSizeModel,0.1,225.72,196.13,186.02,179.91,177.55,176.34,176.16,175.97,175.48,175.01,174.97,174.87,174.87,174.87,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84,174.84
GWOEL,teamSizeModel,1.85,227.28,222.96,220.58,217.69,215.85,214.28,211.8,211.66,207.66,206.6,206.2,205.04,204.56,202.87,202.67,202.67,201.08,201.08,200.21,199.79,199.29,199.29,199.29,199.21,199.19,198.97,198.83,198.5,198.09,197.38,197.31,197.08,196.61,195.4,194.77,194.22,192.63,192.63,192.61,192.57,192.44,192.24,192.12,191.41,191.21,190.86,189.53,188.81,188.41,187.28,187.15,186.88,186.83,186.21,185.91,184.65,184.18,184.18,184.18,184.03,183.33,183.12,183.12,182.94,182.92,182.62,182.62,182.62,182.62,182.21,182.11,182.11,182.11,182.11,182.11,181.73,181.73,181.73,181.73,181.7,181.57,181.47,180.82,180.82,180.82,180.82,180.5,180.07,180.07,180.07,180.07,179.76,179.55,179.55,179.23,179.23,179.03,179.0,179.0,178.63
PSO,teamSizeModel,0.08,231.04,203.25,194.45,189.97,185.67,182.04,180.83,179.32,177.25,175.6,174.29,173.51,173.16,172.5,171.97,171.43,170.92,170.64,170.44,170.32,170.16,169.83,169.77,169.34,169.25,169.24,169.16,168.79,168.28,168.06,167.76,167.69,167.65,167.49,167.27,167.17,167.09,166.96,166.66,166.62,166.48,165.99,165.86,165.83,165.76,165.38,165.12,165.08,165.02,164.92,164.83,164.71,164.65,164.47,164.47,164.35,164.31,164.28,164.18,164.18,164.18,163.98,163.98,163.95,163.76,163.69,163.68,163.58,163.41,163.38,163.26,163.19,163.16,163.13,163.13,163.06,163.06,162.99,162.93,162.89,162.83,162.79,162.79,162.76,162.75,162.75,162.73,162.73,162.7,162.7,162.65,162.62,162.62,162.62,162.62,162.42,162.42,162.35,162.35,162.25
BA,teamSizeModel,0.1,206.54,198.41,191.44,189.41,188.02,187.17,187.17,187.17,186.97,186.97,186.75,186.36,185.9,185.9,185.7,185.68,185.47,185.47,185.47,185.47,185.44,185.28,185.28,185.28,185.28,185.0,184.94,184.75,184.75,184.75,184.75,184.75,184.75,184.75,184.65,184.61,184.51,184.41,184.36,184.36,184.36,184.36,184.36,184.36,184.35,184.35,184.35,184.34,184.34,184.34,184.18,184.18,184.18,184.11,184.11,184.11,184.11,184.11,184.11,184.11,184.11,184.11,184.11,184.11,184.11,184.11,184.11,184.09,184.09,184.07,184.07,184.07,184.07,184.07,184.07,184.07,184.07,184.07,184.07,184.07,184.04,184.04,184.04,184.04,184.04,184.04,184.04,184.04,184.04,184.04,184.04,184.04,184.04,184.04,184.04,184.04,184.04,184.04,184.04,184.04
WOA,teamSizeModel,0.08,229.98,205.51,194.69,188.85,184.73,182.92,181.5,180.45,179.99,179.85,177.29,177.25,176.67,175.85,175.06,174.89,174.86,174.59,174.57,174.01,173.97,173.46,173.41,173.25,173.04,172.77,172.03,171.69,171.52,171.52,171.52,171.46,170.97,170.92,170.9,170.51,170.47,170.12,169.87,169.36,169.36,169.36,169.19,169.17,169.17,169.17,169.16,169.04,169.04,169.04,169.03,169.03,169.03,168.89,168.89,168.89,168.89,168.78,168.78,168.74,168.74,168.74,168.74,168.74,168.74,168.54,168.54,168.54,168.54,168.54,168.54,168.54,168.54,168.54,168.39,168.39,168.39,168.39,168.39,168.39,168.39,168.39,168.38,168.38,168.25,168.25,168.25,168.12,168.12,168.12,168.12,168.12,168.12,168.08,168.08,168.08,168.08,168.08,168.08,168.08
CSA,teamSizeModel,1.23,212.85,203.28,196.6,192.98,189.67,187.47,185.86,184.98,184.83,184.69,184.69,184.67,184.44,184.44,184.33,184.27,184.07,183.89,183.89,183.89,183.89,183.81,183.81,183.71,183.71,183.71,183.71,183.71,183.54,183.33,183.16,183.16,183.16,183.02,182.98,182.98,182.98,182.98,182.98,182.98,182.98,182.89,182.79,182.79,182.79,182.79,182.79,182.79,182.79,182.79,182.79,182.55,182.55,182.55,182.55,182.55,182.55,182.48,182.48,182.48,182.48,182.48,182.48,182.48,182.48,182.48,182.48,182.48,182.48,182.48,182.33,182.33,182.33,182.33,182.33,182.33,182.33,182.33,182.29,182.29,182.29,182.16,182.12,182.12,182.12,182.12,182.12,182.12,182.12,181.99,181.99,181.99,181.99,181.99,181.99,181.99,181.99,181.99,181.99,181.99
DE,teamSizeModel,0.07,219.38,205.41,195.39,189.57,185.12,181.68,179.48,175.79,174.51,173.43,172.04,171.09,170.31,169.72,169.51,169.13,169.0,168.91,168.84,168.62,168.5,168.36,168.33,168.07,167.93,167.88,167.88,167.76,167.72,167.62,167.53,167.25,167.17,167.11,167.01,166.98,166.96,166.93,166.89,166.88,166.88,166.88,166.88,166.83,166.83,166.76,166.76,166.73,166.69,166.66,166.66,166.66,166.59,166.46,166.43,166.43,166.41,166.41,166.35,166.35,166.35,166.25,166.25,166.25,166.25,166.25,166.15,166.08,166.07,166.07,166.07,166.07,166.07,166.03,166.03,166.03,165.97,165.97,165.97,165.93,165.93,165.93,165.93,165.93,165.9,165.9,165.9,165.9,165.9,165.9,165.9,165.87,165.87,165.87,165.87,165.87,165.87,165.87,165.8,165.8
