Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
GWO,teamSizeModel,0.06105542182922363,214.71,196.794,196.794,181.392,178.13,174.13,174.13,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,166.504,166.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504,162.504
GWO,teamSizeModel,0.05835914611816406,238.794,190.392,190.392,181.392,181.392,181.392,181.392,181.392,173.392,173.392,173.392,173.392,173.392,173.392,173.392,173.392,173.392,173.392,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,169.26999999999998,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13
GWO,teamSizeModel,0.05975675582885742,215.794,208.794,184.794,184.794,184.504,182.13,182.13,182.13,174.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,169.13,169.13,169.13,166.504,166.504,166.504,166.504,166.504,166.504,166.504,166.504,166.504,166.504,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13
GWO,teamSizeModel,0.055783748626708984,210.504,210.504,181.504,177.504,177.504,168.392,168.392,168.392,168.392,168.392,168.392,168.392,168.392,168.392,168.392,168.392,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13
GWO,teamSizeModel,0.055506229400634766,222.794,222.794,190.504,188.392,187.504,187.13,176.504,176.504,166.504,166.504,166.504,166.504,166.504,166.504,166.504,166.504,166.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504
GWO,teamSizeModel,0.05969429016113281,216.794,216.794,201.392,201.392,201.392,191.504,191.504,183.13,178.26999999999998,178.26999999999998,177.13,177.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13
GWO,teamSizeModel,0.057305097579956055,198.794,198.794,198.794,198.794,188.504,188.504,183.794,183.794,178.504,172.13,172.13,172.13,172.13,171.26999999999998,171.26999999999998,166.504,166.504,166.504,166.13,166.13,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.504,164.13,164.13,164.13,164.13,164.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13,162.13
GWO,teamSizeModel,0.05679798126220703,229.71,226.794,194.794,187.392,187.392,184.504,184.504,184.392,176.504,176.504,176.504,176.504,175.13,175.13,175.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504
GWO,teamSizeModel,0.05817294120788574,228.794,209.392,209.392,209.392,189.13,186.392,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13
GWO,teamSizeModel,0.057346343994140625,201.794,194.392,186.392,183.504,183.504,183.392,183.392,183.392,183.392,183.26999999999998,183.26999999999998,183.26999999999998,183.26999999999998,183.26999999999998,175.13,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,168.504,168.13,168.13,168.13,168.13,168.13,168.13,168.13,164.504,164.504,164.504,164.504,164.504,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13
